source,target,requirement
Math 31A,Math 31B,Enforced
Math 31A,Math 32A,Enforced
Math 31B,Math 32B,Enforced
Math 32A,Math 32B,Enforced
Math 31B,Math 33A,Choice
Math 32A,Math 33A,Choice
Stats 10,Stats 20,Enforced
Math 32B,Stats 100A,Enforced
Math 33A,Stats 100A,Enforced
Stats 100A,Stats 100B,Enforced
Stats 100B,Stats 100C,Enforced
Stats 10,Stats 101A,Enforced
Stats 101A,Stats 101B,Enforced
Stats 101B,Stats 101C,Enforced
Math 33A,Stats 102A,Enforced
Stats 10,Stats 102A,Enforced
Math 33A,Stats 102B,Enforced
Stats 100B,Stats 102B,Enforced
Stats 100B,Stats 102C,Enforced
Stats 100B,Stats 140SL,Enforced
Stats 101B,Stats 140SL,Enforced
Stats 130,Stats 140SL,Enforced
Stats 140SL,Stats 141SL,Enforced
Stats 10,Stats M154,Enforced
Stats 100C,Stats 170,Choice
Stats 101B,Stats 170,Choice
Math 32B,Stats C180,Enforced
Stats 100B,Stats C180,Enforced
